ESTU_CONSECUTIVO,ESTU_GRADO,COLE_NOM_ESTABLECIMIENTO,COLE_COD_ICFES,COLE_CALENDARIO,COLE_COD_MCPIO,COLE_NOM_MCPIO,COLE_COD_DPTO,COLE_NOM_DPTO,EXA_N_RTAS_CORR_CN,EXA_N_RTAS_CORR_CC,EXA_N_RTAS_CORR_LC,EXA_N_RTAS_CORR_MT,EXA_C_RTAS_CORR_CN,EXA_C_RTAS_CORR_CC,EXA_C_RTAS_CORR_LC,EXA_C_RTAS_CORR_MT,ESTU_GENERO_F,ESTU_GENERO_M,COLE_NATURALEZA_NO,COLE_NATURALEZA_O,COLE_JORNADA_COMPLETA,COLE_JORNADA_MAÑANA,COLE_JORNADA_TARDE,COLE_JORNADA_UNICA,EXA_MODALIDAD_OFF,EXA_MODALIDAD_ON,EXA_MODALIDAD_PA,EXA_MODALIDAD_PAL
887912,6,I.E. LATORRE GOMEZ,23193,A,95025,EL RETORNO,95,GUAVIARE,0,0,8,6,0,0,1,0,False,True,False,True,False,True,False,False,False,False,True,False
23878622,4,I.E. NORMAL SUPERIOR FEDERICO LLERAS ACOSTA,52000,A,99001,PUERTO CARREÑO,99,VICHADA,0,0,12,7,0,0,1,1,False,True,False,True,True,False,False,False,False,False,True,False
23321096,3,I.E. SAN JOSÉ OBRERO,23276,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,10,13,0,0,1,1,True,False,True,False,True,False,False,False,False,True,False,False
23599262,5,I.E. INTERNADO EDUARDO CARRANZA,19432,A,99001,PUERTO CARREÑO,99,VICHADA,9,5,8,5,1,0,1,0,True,False,False,True,True,False,False,False,False,False,True,False
22893290,7,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19505,A,91001,LETICIA,91,AMAZONAS,7,5,7,7,1,0,1,1,True,False,False,True,False,False,True,False,False,False,True,False
861257,10,I.E. LAS ACACIAS,49012,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,0,0,12,0,0,0,1,0,True,False,False,True,False,True,False,False,False,False,True,False
886176,9,INSTITUCION EDUCATIVA SANTANDER,16674,A,95001,SAN JOSÉ DEL GUAVIARE,95,GUAVIARE,16,16,13,13,2,2,1,1,False,True,False,True,False,True,False,False,False,True,False,False
22929047,6,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,13116,A,91540,PUERTO NARIÑO,91,AMAZONAS,4,3,10,4,0,0,1,0,False,True,False,True,True,False,False,False,False,False,True,False
22858685,6,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,19505,A,91001,LETICIA,91,AMAZONAS,10,7,10,6,1,1,1,0,True,False,False,True,False,False,True,False,False,False,True,False
21884540,6,I.E. LATORRE GOMEZ,23193,A,95025,EL RETORNO,95,GUAVIARE,0,0,4,7,0,0,0,1,True,False,False,True,False,True,False,False,False,False,True,False
